company_id,event_date,event_type,detail,source,source_url
aragorn-ai,2025-09-30,funding,"Form D filed ($4,300,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188125000002/primary_doc.xml
aragorn-ai,2022-08-23,funding,"Form D filed ($726,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188122000002/primary_doc.xml
aragorn-ai,2022-04-07,funding,"Form D filed ($95,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188122000001/primary_doc.xml
aravolta,2025-05-06,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/aravolta
arc-2,2022-01-14,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/arc-2
arc-prize-foundation,2026-01-22,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/arc-prize-foundation
arcane,2024-01-26,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/arcane
archal,2026-04-20,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/archal
archbee,2021-07-26,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/archbee
archer,2026-04-23,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/archer
archil,2024-09-24,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/archil
archilabs,2024-11-19,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/archilabs
archon,2025-01-28,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/archon
arcimus,2023-07-03,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/arcimus
arctic-health,2026-05-10,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/arctic-health
arden,2026-05-06,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/arden
ardent,2026-04-08,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/ardent
arengu,2021-07-06,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/arengu
ares-industries,2024-08-20,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/ares-industries
arga-labs,2026-02-24,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/arga-labs
argil,2024-07-04,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/argil
argo,2022-03-07,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/argo
argon-ai-inc,2024-02-09,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/argon-ai-inc
argon-ai-inc,2024-06-13,funding,"Form D filed ($5,515,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/2026471/000202647124000001/primary_doc.xml
argovox,2022-06-14,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/argovox
args,2025-07-16,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/args
argument-computer-corporation,2022-03-25,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/argument-computer-corporation
ariglad,2022-11-16,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/ariglad
arini,2024-02-19,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/arini
arintra,2022-01-22,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/arintra
