company_id,story_id,title,url,points,num_comments,created_at,matched_query
mercator,43551007,The Universal Transverse Mercator (UTM) geographic coordinate system,http://www.mibsar.com/LandNav/UTM/UTM.htm,29,5,2025-04-01 16:31:17,"""Mercator"""
mercator,48789445,3D Airplane tracker on Mercator map,https://github.com/jamalrfordii-arch/Vanguard-Map,24,5,2026-07-04 17:53:09,"""Mercator"""
mercator,7840059,Show HN: the Mercator projection like you've never seen it before,http://mrgris.com/projects/merc-extreme/,20,11,2014-06-03 09:36:33,"""Mercator"""
mercator,44964967,African Union Endorses Call to Abandoned the Mercator Map,https://www.nytimes.com/2025/08/19/world/africa/africa-map-mercator.html,9,1,2025-08-20 14:50:39,"""Mercator"""
mercator,17713300,Greenland Is No Longer Larger Than Africa: GoogleMaps Drops Mercator Projections,https://swarajyamag.com/insta/greenland-is-no-longer-larger-than-africa-as-google-maps-drops-mercator-projections,8,1,2018-08-08 00:58:40,"""Mercator"""
mercator,45564968,Transverse Mercator with an accuracy of a few nanometers (2010),https://arxiv.org/abs/1002.1417,7,2,2025-10-13 01:31:04,"""Mercator"""
mercator,46715868,Ask HN: Why does Google Maps still use mercator projection?,"",6,4,2026-01-22 01:10:39,"""Mercator"""
mercator,7452641,Mercator puzzle,https://embed-dot-more-than-a-map.appspot.com/demos/visualization/puzzle,6,2,2014-03-23 04:55:40,"""Mercator"""
mercator,44914502,African Union joins calls to end use of Mercator map that shrinks Africa size,https://www.theguardian.com/world/2025/aug/15/african-union-true-size-world-map-replace-mercator-version,6,2,2025-08-15 12:38:37,"""Mercator"""
mercator,9987877,Mercator Projection,"https://en.wikipedia.org/wiki/Mercator_projection#",5,0,2015-08-01 13:37:47,"""Mercator"""
mercator,43290589,"Creating static map images with OpenStreetMap, Web Mercator, and Pillow",https://alexwlchan.net/2025/static-maps/,5,0,2025-03-07 09:47:00,"""Mercator"""
mercator,3903920,The Mercator Map Turns 500,http://www.guernicamag.com/blog/michelle-legro-the-mercator-map-turns-500/,5,0,2012-04-28 16:01:59,"""Mercator"""
mezli,26468204,Launch HN: Mezli (YC W21) – Robotic restaurants that serve healthy fast food,"",201,127,2021-03-15 12:39:29,"""Mezli"""
micro-meat,30627418,Launch HN: Micro Meat (YC S21) – Technology for scaling cultivated meat,"",390,194,2022-03-10 09:40:48,"""Micro Meat"""
milk-video,26251322,Launch HN: Milk Video (YC W21) – Edit online event recordings quickly,"",154,52,2021-02-24 11:00:50,"""Milk Video"""
milk-video,31481921,"Show HN: Milk Video - Capture, clip and ship video content",https://milkvideo.com/?ref=hn,17,4,2022-05-23 13:19:43,"""Milk Video"""
moonrepo,34885077,Launch HN: Moonrepo (YC W23) – Open-source build system,"",200,171,2023-02-21 13:48:10,"""moonrepo"""
moonrepo,34088041,"A build system and repo management tool for the web ecosystem, written in Rust",https://moonrepo.dev/,5,0,2022-12-21 19:03:46,"""moonrepo"""
moonshot-brands,27154309,Launch HN: Moonshot Brands (YC W21) – We buy and grow e-commerce companies,"",103,71,2021-05-14 09:52:58,"""Moonshot Brands"""
moving-parts,18503772,Silent and Simple Ion Engine Powers a Plane with No Moving Parts,https://www.scientificamerican.com/article/silent-and-simple-ion-engine-powers-a-plane-with-no-moving-parts/,662,223,2018-11-21 11:24:13,"""Moving Parts"""
moving-parts,31016120,A new heat engine with no moving parts is as efficient as a steam turbine,https://news.mit.edu/2022/thermal-heat-engine-0413,616,262,2022-04-13 11:48:40,"""Moving Parts"""
moving-parts,31932423,MIT engineers fly first-ever plane with no moving parts (2018),https://news.mit.edu/2018/first-ionic-wind-plane-no-moving-parts-1121,428,137,2022-06-30 09:59:20,"""Moving Parts"""
moving-parts,3552290,The Tesla Valve: One Way Flow With No Moving Parts,http://blog.makezine.com/2012/01/05/the-tesla-valve-one-way-flow-with-no-moving-parts/,405,68,2012-02-04 16:51:30,"""Moving Parts"""
moving-parts,6494517,MIT inventor creates cube robots with no external moving parts,http://www.kurzweilai.net/mit-inventor-unleashes-hundreds-of-self-assembling-cube-swarmbots,170,44,2013-10-04 05:45:49,"""Moving Parts"""
