company_id,round_type,announced_date,amount_usd,investors,source,source_url
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000002/primary_doc.xml
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000003/primary_doc.xml
fathom,form_d,2021-05-27,92000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1864274/000186427421000002/primary_doc.xml
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000001/primary_doc.xml
fathom,form_d,2022-03-09,403000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1864274/000186427422000001/primary_doc.xml
female-invest,form_d,2024-07-26,15751088,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2031731/000203173124000001/primary_doc.xml
fetii,form_d,2024-04-04,4499999,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1916974/000191697424000004/primary_doc.xml
fieldproxy,form_d,2022-09-12,1453,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1931839/000193183922000001/primary_doc.xml
fifthtry,form_d,2021-07-29,1166665,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1873857/000187385721000001/primary_doc.xml
finary,form_d,2021-05-24,3167491,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1863777/000186377721000001/primary_doc.xml
finley,form_d,2023-02-01,21980999,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1964117/000196411723000001/primary_doc.xml
fleetzero,form_d,2022-06-17,16463983,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1883830/000188383022000002/primary_doc.xml
fleetzero,form_d,2021-09-21,225000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1883830/000188383021000001/primary_doc.xml
fleetzero,form_d,2022-06-17,225000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1883830/000188383022000003/primary_doc.xml
flick,form_d,2020-09-17,4688112,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1740025/000174002520000001/primary_doc.xml
flint-2,form_d,2022-02-14,212765,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1910676/000191067622000002/primary_doc.xml
float,form_d,2024-09-26,765000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2037451/000203745124000001/primary_doc.xml
float-health,form_d,2023-08-01,9990994,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1987169/000198716923000001/primary_doc.xml
focal,form_d,2024-08-20,250000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1544988/000154498824000001/primary_doc.xml
focal,form_d,2023-08-11,50000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1544988/000143774923023347/primary_doc.xml
focal,form_d,2020-12-04,1847150,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1544988/000154498820000005/primary_doc.xml
focal,form_d,2020-12-04,1350256,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1544988/000154498820000004/primary_doc.xml
foreman,form_d,2022-11-23,4750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1955753/000195575322000001/primary_doc.xml
forge-automation,form_d,2024-04-05,135000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2017605/000172768924000038/primary_doc.xml
formance,form_d,2024-12-23,18549999,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2006159/000200615924000001/primary_doc.xml
formance,form_d,2023-12-27,6577893,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2006159/000200615923000001/primary_doc.xml
fortuna-health,form_d,2025-08-28,18275489,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2080965/000208096525000002/primary_doc.xml
fragment,form_d,2023-09-08,0,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1992838/000199283823000001/primary_doc.xml
gander,form_d,2022-03-31,245000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1840345/000157570522000244/primary_doc.xml
gander,form_d,2023-09-18,300000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1840345/000190359623000734/primary_doc.xml
gander,form_d,2023-01-23,5000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1840345/000190359623000057/primary_doc.xml
gander,form_d,2021-08-02,196250,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1840345/000157570521000488/primary_doc.xml
garage-2,form_d,2026-03-12,17840972,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2082029/000208202926000002/primary_doc.xml
gigs,form_d,2024-12-26,69879157,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2049678/000204967824000001/primary_doc.xml
glide-2,form_d,2020-10-30,6000050,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1830524/000183052420000001/primary_doc.xml
govly,form_d,2023-11-07,13134527,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1996039/000199603923000001/primary_doc.xml
gromo,form_d,2022-09-29,10991043,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1859612/000185961222000001/primary_doc.xml
gromo,form_d,2021-05-03,9934,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1859612/000185961221000001/primary_doc.xml
gromo,form_d,2021-10-12,19738,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1859612/000185961221000003/primary_doc.xml
growthbook,form_d,2025-07-02,22621791,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2075367/000207536725000001/primary_doc.xml
guide-labs,form_d,2024-06-21,9315640,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2026937/000202693724000001/primary_doc.xml
h3x-technologies,form_d,2022-06-29,4294220,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1935652/000193565222000001/primary_doc.xml
h3x-technologies,form_d,2022-06-30,1750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1935652/000193565222000002/primary_doc.xml
h3x-technologies,form_d,2023-03-01,3000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1935652/000193565223000002/primary_doc.xml
h3x-technologies,form_d,2024-08-06,20334312,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1935652/000193565224000001/primary_doc.xml
handled,form_d,2024-10-22,3110762,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2040141/000204014124000001/primary_doc.xml
haplotype-labs,form_d,2024-04-16,1100000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2017857/000201785724000001/primary_doc.xml
hazel-2,form_d,2021-04-16,67924734,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1700144/000170014421000001/primary_doc.xml
hazel-2,form_d,2023-12-01,11499983,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1700144/000170014423000006/primary_doc.xml
hazel-2,form_d,2024-11-12,8157085,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1700144/000170014424000001/primary_doc.xml
healia,form_d,2024-03-25,3545000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2016717/000201671724000001/primary_doc.xml
heimdal,form_d,2021-12-07,10802007,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1896741/000189674121000001/primary_doc.xml
hiro,form_d,2020-04-23,525000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1787794/000178779420000001/primary_doc.xml
hiro,form_d,2021-06-10,450000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1866211/000186621121000001/primary_doc.xml
hive-health,form_d,2026-05-12,3475000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2133179/000213317926000001/primary_doc.xml
homeroom,form_d,2021-07-28,275000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1875192/000187519221000002/primary_doc.xml
howdy-com,form_d,2023-01-10,4999995,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1862117/000186211723000001/primary_doc.xml
hubuc,form_d,2022-01-18,9871496,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1904908/000190490822000001/primary_doc.xml
hudu,form_d,2023-05-03,5000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1975845/000197584523000001/primary_doc.xml
humand,form_d,2026-03-20,77490412,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2097425/000209742526000001/primary_doc.xml
icarus,form_d,2024-01-25,10000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2009168/000200916824000003/primary_doc.xml
inbalance,form_d,2021-04-08,665000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1855525/000185552521000001/primary_doc.xml
inflow,form_d,2023-01-24,13571773,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1953738/000195373823000001/primary_doc.xml
infracost,form_d,2025-12-15,18849980,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2099473/000209947325000001/primary_doc.xml
